datetime,method,url,input,output,timeTaken_ms
2025-09-23T12:36:34.636Z,POST,/webhook/5d4dbdb7-c22c-43bd-bda4-5017b5e95264,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","[{""p_input_token"":3005,""p_output_token"":184,""p_total"":3189}]",420.185
2025-09-24T06:00:25.010Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""success"":false,""message"":""Internal server error"",""statusCode"":500}",5.417
2025-09-24T06:02:29.814Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""success"":false,""message"":""Internal server error"",""statusCode"":500}",6.742
2025-09-24T06:06:50.070Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""success"":false,""message"":""Internal server error"",""statusCode"":500}",5.399
2025-09-24T06:08:31.739Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""success"":false,""message"":""Internal server error"",""statusCode"":500}",6.777
2025-09-24T06:14:07.425Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""statusCode"":500,""error"":""Internal Server Error"",""message"":""An internal server error occurred""}",6.129
2025-09-24T06:16:40.163Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""statusCode"":500,""error"":""Internal Server Error"",""message"":""Cannot read properties of undefined (reading 'from')"",""stack"":""TypeError: Cannot read properties of undefined (reading 'from')\n    at generateQueries (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:147:30)\n    at handleStandardCommand (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:62:21)\n    at Object.processRequest (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:11:18)\n    at Object.handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\routes\\frontend.js:30:55)\n    at preHandlerCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:139:37)\n    at validationCompleted (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:123:5)\n    at preValidationCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:100:5)\n    at handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:77:7)\n    at C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\contentTypeParser.js:199:9\n    at AsyncResource.runInAsyncScope (node:async_hooks:214:14)""}",10.701
2025-09-24T06:49:28.417Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""statusCode"":500,""error"":""Internal Server Error"",""message"":""Cannot read properties of undefined (reading 'from')"",""stack"":""TypeError: Cannot read properties of undefined (reading 'from')\n    at generateQueries (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:148:30)\n    at handleStandardCommand (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:63:21)\n    at Object.processRequest (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:11:18)\n    at Object.handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\routes\\frontend.js:30:55)\n    at preHandlerCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:139:37)\n    at validationCompleted (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:123:5)\n    at preValidationCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:100:5)\n    at handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:77:7)\n    at C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\contentTypeParser.js:199:9\n    at AsyncResource.runInAsyncScope (node:async_hooks:214:14)""}",6.240
2025-09-24T06:52:29.527Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""statusCode"":500,""error"":""Internal Server Error"",""message"":""Cannot read properties of undefined (reading 'from')"",""stack"":""TypeError: Cannot read properties of undefined (reading 'from')\n    at generateQueries (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:148:30)\n    at handleStandardCommand (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:63:21)\n    at Object.processRequest (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:11:18)\n    at Object.handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\routes\\frontend.js:30:55)\n    at preHandlerCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:139:37)\n    at validationCompleted (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:123:5)\n    at preValidationCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:100:5)\n    at handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:77:7)\n    at C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\contentTypeParser.js:199:9\n    at AsyncResource.runInAsyncScope (node:async_hooks:214:14)""}",10.765
2025-09-24T06:52:30.384Z,POST,/frontend_database_interface,"{""cmd"":""4"",""class"":""4"",""id"":4601,""user"":""prayogeekworkshop@gmail.com"",""test"":""0""}","{""statusCode"":500,""error"":""Internal Server Error"",""message"":""Cannot read properties of undefined (reading 'from')"",""stack"":""TypeError: Cannot read properties of undefined (reading 'from')\n    at generateQueries (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:148:30)\n    at handleStandardCommand (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:63:21)\n    at Object.processRequest (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\services\\frontendDashboardInterface.js:11:18)\n    at Object.handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\src\\routes\\frontend.js:30:55)\n    at preHandlerCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:139:37)\n    at validationCompleted (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:123:5)\n    at preValidationCallback (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:100:5)\n    at handler (C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\handleRequest.js:77:7)\n    at C:\\Users\\Administrator\\Desktop\\proyogeek\\backend\\node_modules\\fastify\\lib\\contentTypeParser.js:199:9\n    at AsyncResource.runInAsyncScope (node:async_hooks:214:14)""}",0.912
